name,surname,age,zip,bank,disease
Romolo,Cattaneo,20,16000,655789,polmonite
Olga,Bertolucci,20,16400,895042,tubercolosi
Amleto,Sordi,10,16100,493442,polmonite
Gioachino,Maccanelli,40,10000,19287,tifo
Paola,Modiano,10,16600,798803,covid-19
Baldassare,Pignatti,10,16700,406821,tubercolosi
Serafina,Gottardi,90,16100,820864,tubercolosi
Costanzo,Pizzetti,80,16900,857723,niente
Ubaldo,Casarin,60,16000,773428,malaria
Daria,Notarbartolo,30,16500,945068,tubercolosi
Lazzaro,Lupo,40,16400,91824,influenza
Gianmarco,Ferrante,40,16000,437752,malaria
Greca,Gangemi,40,16000,532223,niente
Massimiliano,Beccaria,0,16100,699306,influenza
Emma,Liguori,60,16400,48282,influenza
Rosario,Benigni,0,16500,504814,malaria
Marcantonio,Riccardi,90,16000,675895,malaria
Rosina,Ficino,50,16300,25038,ebola
Augusto,Antonioni,70,16100,182004,colera
Serafina,Grassi,80,16300,748063,malaria
Antonello,Mengolo,30,16000,102810,colera
Fabio,Argan,10,16000,531957,niente
Carmelo,Bocelli,10,16800,216882,ebola
Fernanda,Tornatore,40,16800,824387,niente
Ilaria,Vigliotti,0,16100,581493,malaria
Marcantonio,Pincherle,30,16700,409341,tifo
Ivo,Marenzio,50,16400,816219,polmonite
Ludovica,Legnante,70,16700,502735,ebola
Domenico,Bruscantini,70,16800,853656,ebola
Aldo,Trobbiani,60,16800,153184,influenza
Gianmarco,Trincavelli,90,16100,753401,covid-19
Luisa,Treves,0,16100,428278,malaria
Aurora,Sauli,60,16800,40001,covid-19
Eraldo,Curatoli,20,16000,252874,tubercolosi
Virginia,Sandi,70,16000,976879,polmonite
Cecilia,Ferraris,20,16200,827345,ebola
Etta,Lettiere,40,16400,291142,polmonite
Hugo,Gullotta,40,16000,467544,tifo
Cristina,Saracino,70,16000,652762,ebola
Giuseppe,Randazzo,60,16200,549290,influenza
Lolita,Balbi,90,16000,357538,influenza
Rossana,Abate,0,16400,297186,ebola
Flavio,Schicchi,40,16300,871617,tubercolosi
Annunziata,Abate,20,16000,387866,ebola
Iolanda,Tornatore,30,16000,256705,tifo
Flavio,Mercadante,30,16400,395596,niente
Diana,Scialpi,20,16400,912608,ebola
Beatrice,Ferrazzi,0,16600,589990,tifo
Pier,Pacetti,80,16000,309386,colera
Vanessa,Tacchini,10,16500,683949,colera
Giulia,Franscini,80,16500,104478,malaria
Enzo,Trupiano,90,10000,974071,polmonite
Maria,Tagliafierro,10,16100,484620,covid-19
Baccio,Fuseli,30,16400,197005,ebola
Pellegrino,Valmarana,90,16800,316877,ebola
Aria,Mazzi,40,16700,684883,tifo
Greco,Inzaghi,0,16000,579240,influenza
Ruggero,Cagnotto,20,16100,951201,colera
Giada,Panzera,80,16000,654262,ebola
Bernardo,Benigni,30,16200,219183,ebola
Marcella,Longhena,40,16100,449971,niente
Mirko,Ricciardi,90,16100,14367,covid-19
Milo,Lerner,70,16000,306487,polmonite
Alphons,Brenna,40,16800,64075,malaria
Pierluigi,Salvo,60,16000,930492,colera
Fausto,Asmundo,60,16000,506624,tubercolosi
Piergiorgio,Ferrucci,40,16200,119193,malaria
Pompeo,Majewski,70,10000,757436,niente
Mariano,Faranda,0,16500,88026,covid-19
Laureano,Gabba,80,16300,905412,colera
Antonia,Berlusconi,20,16300,239822,malaria
Amleto,Pascarella,30,16300,118191,malaria
Tina,Armellini,70,16000,246619,ebola
Martino,Nicoletti,50,16700,174421,colera
Gianmarco,Ritacca,20,16000,541704,colera
Benedetto,Tonisto,50,16800,733509,colera
Ricciotti,Bonatti,90,16500,309874,niente
Melissa,Bocelli,20,16800,982891,covid-19
Pina,Montessori,30,16700,202989,tifo
