name,surname,age,zip,bank,disease
Elvira,Foa,25,16094,655789,polmonite
Olga,Bertolucci,24,16481,895042,tubercolosi
Amleto,Sordi,19,16159,493442,polmonite
Gioachino,Maccanelli,41,16060,19287,tifo
Paola,Modiano,11,16667,798803,covid-19
Baldassare,Pignatti,17,16765,406821,tubercolosi
Serafina,Gottardi,99,16177,820864,tubercolosi
Costanzo,Pizzetti,82,16949,857723,niente
Ubaldo,Casarin,69,16660,773428,malaria
Daria,Notarbartolo,33,16541,945068,tubercolosi
Lazzaro,Lupo,48,16437,91824,influenza
Gianmarco,Ferrante,49,16034,437752,malaria
Greca,Gangemi,60,16031,532223,niente
Massimiliano,Beccaria,10,16126,699306,influenza
Emma,Liguori,62,16495,48282,influenza
Rosario,Benigni,5,16518,504814,malaria
Marcantonio,Riccardi,98,16067,675895,malaria
Rosina,Ficino,55,16364,25038,ebola
Augusto,Antonioni,77,16115,182004,colera
Serafina,Grassi,88,16393,748063,malaria
Antonello,Mengolo,34,16330,102810,colera
Fabio,Argan,19,16470,531957,niente
Carmelo,Bocelli,14,16895,216882,ebola
Fernanda,Tornatore,49,16867,824387,niente
Ilaria,Vigliotti,8,16134,581493,malaria
Marcantonio,Pincherle,35,16725,409341,tifo
Ivo,Marenzio,59,16432,816219,polmonite
Ludovica,Legnante,71,16749,502735,ebola
Domenico,Bruscantini,78,16812,853656,ebola
Aldo,Trobbiani,65,16841,153184,influenza
Gianmarco,Trincavelli,96,16143,753401,covid-19
Luisa,Treves,20,16145,428278,malaria
Aurora,Sauli,61,16884,40001,covid-19
Eraldo,Curatoli,26,16074,252874,tubercolosi
Virginia,Sandi,72,16940,976879,polmonite
Cecilia,Ferraris,22,16249,827345,ebola
Etta,Lettiere,44,16449,291142,polmonite
Hugo,Gullotta,41,16770,467544,tifo
Cristina,Saracino,77,16808,652762,ebola
Giuseppe,Randazzo,62,16295,549290,influenza
Lolita,Balbi,96,16014,357538,influenza
Rossana,Abate,1,16439,297186,ebola
Flavio,Schicchi,45,16394,871617,tubercolosi
Annunziata,Abate,28,16301,387866,ebola
Iolanda,Tornatore,32,16303,256705,tifo
Flavio,Mercadante,33,16453,395596,niente
Diana,Scialpi,29,16444,912608,ebola
Beatrice,Ferrazzi,4,16676,589990,tifo
Pier,Pacetti,84,16206,309386,colera
Vanessa,Tacchini,15,16583,683949,colera
Giulia,Franscini,84,16561,104478,malaria
Enzo,Trupiano,93,16050,974071,polmonite
Maria,Tagliafierro,13,16186,484620,covid-19
Baccio,Fuseli,33,16499,197005,ebola
Pellegrino,Valmarana,97,16857,316877,ebola
Aria,Mazzi,60,16715,684883,tifo
Greco,Inzaghi,40,16430,579240,influenza
Ruggero,Cagnotto,21,16152,951201,colera
Giada,Panzera,85,16540,654262,ebola
Bernardo,Benigni,36,16276,219183,ebola
Marcella,Longhena,41,16113,449971,niente
Mirko,Ricciardi,93,16146,14367,covid-19
Milo,Lerner,71,16083,306487,polmonite
Alphons,Brenna,46,16833,64075,malaria
Pierluigi,Salvo,67,16014,930492,colera
Fausto,Asmundo,64,16024,506624,tubercolosi
Piergiorgio,Ferrucci,46,16249,119193,malaria
Pompeo,Majewski,78,16700,757436,niente
Mariano,Faranda,10,16594,88026,covid-19
Laureano,Gabba,86,16321,905412,colera
Antonia,Berlusconi,24,16341,239822,malaria
Amleto,Pascarella,35,16334,118191,malaria
Tina,Armellini,76,16404,246619,ebola
Martino,Nicoletti,55,16731,174421,colera
Gianmarco,Ritacca,21,16503,541704,colera
Benedetto,Tonisto,54,16812,733509,colera
Ricciotti,Bonatti,96,16561,309874,niente
Melissa,Bocelli,30,16895,982891,covid-19
Pina,Montessori,32,16745,202989,tifo
Fabrizio,Iannucci,7,16575,388641,niente
Gioffre,Cesarotti,85,16263,449826,ebola
Gemma,Pace,93,16563,851417,polmonite
Leopoldo,Avogadro,8,16490,742385,covid-19
Martina,Anguissola,41,16647,334627,colera
Paolo,Ferrata,85,16059,588397,tubercolosi
Luca,Ligorio,96,16797,112185,tifo
Dolores,Lercari,97,16018,696084,polmonite
Carla,Catalano,48,16790,5445,polmonite
Eugenia,Giolitti,63,16278,440040,niente
Giacomo,Antonello,85,16320,293191,colera
Francesco,Contarini,96,16201,314360,malaria
Gelsomina,Russo,73,16143,405326,polmonite
Eva,Renier,81,16044,695483,ebola
Elvira,Ruffini,11,16310,390268,malaria
Adelmo,Sforza,81,16198,299723,tubercolosi
Sabatino,Zampa,1,16948,694689,ebola
Isabella,Pirelli,19,16159,307150,colera
Ramona,Boldù,43,16713,796617,covid-19
Amanda,Lombardo,79,16580,163041,colera
Mario,Iannelli,89,16534,559922,covid-19
Tina,Capuana,35,16765,968590,polmonite
Luigina,Scarponi,23,16955,280605,niente
Gianluca,Meucci,94,16407,928869,colera
Daniele,Franscini,11,16501,489927,covid-19
Dina,Gregorio,73,16457,773474,polmonite
Vittorio,Gentileschi,23,16001,917633,colera
Federico,Argento,90,16957,714384,malaria
Tonia,Gravina,56,16403,70251,polmonite
Bettina,Palmisano,63,16959,290407,polmonite
Antonina,Niscoromni,45,16086,417480,polmonite
Goffredo,Pedersoli,64,16830,899979,ebola
Silvio,Curatoli,63,16273,183245,tubercolosi
Osvaldo,Agostini,58,16556,61459,tubercolosi
Giovanna,Venturi,39,16051,630821,niente
Amalia,Ferrazzi,18,16368,826965,malaria
Rita,Sermonti,2,16589,274207,malaria
Rosalia,Ricciardi,16,16195,231443,tifo
Amleto,Donarelli,67,16789,941663,colera
Giulietta,Nitti,52,16848,380309,malaria
Gioffre,Piazzi,60,16682,34135,colera
Adelmo,Rosiello,42,16434,981088,malaria
Gabriella,Majorana,93,16927,268992,niente
Giampiero,Marini,53,16999,674094,polmonite
Niccolò,Berengario,72,16635,587378,influenza
Milena,Papetti,88,16063,262544,influenza
Ubaldo,Staglieno,66,16270,556912,polmonite
Gioachino,Ottino,81,16760,63656,malaria
Pompeo,Garozzo,45,16754,507888,covid-19
Bruno,Martucci,15,16133,265175,covid-19
Pellegrino,Spinelli,24,16197,692913,colera
